AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,POSITION,FREQ,DFGM,DFGA,DFG%,DD FG%,DIFF%,RA FGM,RA FGA,RA FG%,PAINT FGM,PAINT FGA,PAINT FG%,MID-RANGE FGM,MID-RANGE FGA,MID-RANGE FG%,LEFT CORNER 3 FGM,LEFT CORNER 3 FGA,LEFT CORNER 3 FG%,RIGHT CORNER 3 FGM,RIGHT CORNER 3 FGA,RIGHT CORNER 3 FG%,ABOVE THE BREAK 3 FGM,ABOVE THE BREAK 3 FGA,ABOVE THE BREAK 3 FG,OPP RA FGM,OPP RA FGA,OPP RA FG%,OPP PAINT FGM,OPP PAINT FGA,OPP PAINT FG%,OPP MID-RANGE FGM,OPP MID-RANGE FGA,OPP MID-RANGE FG%,OPP LEFT CORNER 3 FGM,OPP LEFT CORNER 3 FGA,OPP LEFT CORNER 3 FG%,OPP RIGHT CORNER 3 FGM,OPP RIGHT CORNER 3 FGA,OPP RIGHT CORNER 3 FG%,OPP ABOVE THE BREAK 3 FGM,OPP ABOVE THE BREAK 3 FGA,OPP ABOVE THE BREAK 3 FG%,%FGA 2PT,%FGA 3PT,%PTS 2PT,%PTS 2PT MR,%PTS 3PT,%PTS FBPS,%PTS FT,%PTS OFFTO,%PTS PITP,2FGM %AST,2FGM %UAST,3FGM %AST,3FGM %UAST,FGM %AST,FGM %UAST
23,78,40,38,33.8,16.0,6.0,13.4,44.9,1.6,4.4,34.9,2.4,3.2,73.1,1.7,5.7,7.4,3.7,2.1,0.7,0.7,2.2,32.6,19,0,1.4,F,100.00%,5.0,11.2,44.2,46.0,-1.7,3.1,4.9,63.4,0.6,1.8,34.3,0.7,2.3,33,0.2,0.7,32.7,0.2,0.5,47.5,1.1,3.2,33.9,12.8,20.9,61.1,2.6,6.7,38.9,2.2,5.6,39.7,2.5,5.7,44.7,3.2,8.2,38.3,4.7,14.1,33.7,66.8,33.2,56.0,9.3,29.1,12.0,14.8,13.7,46.7,50.4,49.6,84.3,15.7,59.1,40.9
22,50,31,19,12.9,5.9,2.1,5.2,40.1,0.9,2.5,33.9,0.8,1.0,82.0,0.1,1.2,1.3,1.7,0.8,0.4,0.3,1.4,11.3,0,0,2.0,G,100.00%,2.0,5.0,40.8,43.9,-3.1,0.6,1.1,57.7,0.3,0.7,36.1,0.4,1,40.4,0.1,0.2,33.3,0.1,0.3,30,0.8,2.2,34.5,4.8,8,59.5,1,2.5,41,0.7,2.2,32.6,1,2.5,39.7,1.2,3.3,35.7,1.7,5.4,30.5,51.5,48.5,42.2,12.9,43.9,15.0,13.9,16.3,29.3,38.7,61.3,79.1,20.9,55.2,44.8
25,61,38,23,11.4,4.0,1.5,3.5,42.3,0.5,1.6,32.0,0.4,0.6,75.0,0.2,1.7,1.9,0.3,0.4,0.3,0.2,1.1,7.9,0,0,-2.5,F,100.00%,2.8,5.7,48.8,44.8,4.0,0.7,1.3,55.1,0.2,0.5,46.7,0,0.1,25,0.1,0.5,30,0.2,0.5,45,0.3,1,29.3,4.9,8.3,58.6,0.8,1.9,41.3,0.8,1.7,43.8,0.7,1.9,36.6,1.6,4.1,38.2,1.4,4.1,34.1,53.5,46.5,49.0,1.7,39.8,18.7,11.2,20.3,47.3,49.2,50.8,96.9,3.1,65.9,34.1
33,68,41,27,29.0,13.6,5.7,10.6,53.5,1.1,3.0,36.0,1.1,1.4,82.1,1.8,5.0,6.7,4.2,1.5,0.9,1.3,1.9,32.8,10,1,3.8,C-F,100.00%,6.7,14.3,47.0,47.8,-0.9,2.2,3,71.8,1.1,2.1,51,1.4,2.5,54.7,0.1,0.1,44.4,0,0.2,16.7,1,2.7,36.8,11.4,18.7,60.8,2,5.2,38.6,1.4,3.8,37.9,1.8,4.1,42.6,2.9,8,36.8,4.5,13.3,34.1,71.9,28.1,67.9,20.1,23.7,5.0,8.4,11.5,47.8,75.2,24.8,100.0,0.0,79.8,20.2
28,81,52,29,28.3,9.4,3.2,7.3,43.3,1.2,3.5,34.3,1.9,2.1,86.7,1.4,6.1,7.5,1.3,0.9,0.8,0.4,1.8,23.2,12,0,4.7,F,100.00%,5.3,10.7,49.0,46.8,2.2,1.7,2.7,60.4,0.2,0.7,35.1,0.1,0.4,20,0.2,0.6,32.6,0.2,0.7,35.4,0.8,2.3,34.6,11.4,20,57.2,2,4.6,43.2,1.7,4.5,37.4,2.1,5.2,39.9,3.2,8.5,37.7,3.7,9.7,37.7,52.8,47.2,42.4,1.8,37.9,13.6,19.7,15.9,40.5,51.6,48.4,100.0,0.0,69.6,30.4
26,5,1,4,5.1,3.6,1.6,2.6,61.5,0.0,0.2,0.0,0.4,0.8,50.0,0.8,3.0,3.8,0.6,0.2,0.2,0.0,0.4,9.5,0,0,3.2,F-C,100.00%,0.6,2.6,23.1,43.9,-20.8,0.8,1,80,0.6,1.2,50,0.3,0.3,100,0,0,0,0,0,0,0,0.2,0,2,4.4,45.5,0.4,1,40,0.2,0.6,33.3,0,0.7,0,0.5,1.3,40,0.6,3.2,18.8,92.3,7.7,88.9,11.1,0.0,0.0,11.1,0.0,77.8,75.0,25.0,0.0,0.0,75.0,25.0
27,64,19,45,21.5,8.8,3.0,7.4,40.5,1.0,2.6,36.3,1.8,2.2,82.3,0.5,3.2,3.7,2.0,1.0,0.6,0.3,1.4,18.0,1,0,-4.7,G,100.00%,3.5,7.2,48.8,45.5,3.3,1.4,2.5,56.7,0.3,1.2,26,0.3,1.1,30.6,0.1,0.4,33.3,0.1,0.2,40,0.8,2.1,37.1,9.8,15,65.7,1.6,3.9,41.9,1.7,3.7,46.6,1,2.7,38.1,2.3,6,37.6,3.1,8.2,37.5,64.6,35.4,46.7,7.8,32.6,7.1,20.7,11.9,38.9,42.0,58.0,77.0,23.0,53.1,46.9
25,31,21,10,19.0,5.3,1.8,5.1,35.7,1.3,4.1,32.3,0.4,0.4,92.3,0.2,1.4,1.5,0.6,0.5,0.5,0.2,1.7,9.9,0,0,0.9,G,100.00%,3.4,6.9,48.8,44.5,4.4,0.3,0.6,55.6,0,0.1,0,0.2,0.3,50,0.2,0.6,33.3,0.2,0.4,41.7,1,3.2,31.6,7.9,13.6,58,1.4,3.6,39.4,1,2.7,38.1,0.5,2,27,2.2,6.5,33.3,1.8,5.9,30.8,19.1,80.9,18.2,6.1,74.5,12.1,7.3,6.7,12.1,80.0,20.0,95.1,4.9,91.1,8.9
25,25,8,17,21.2,9.2,3.1,6.9,44.5,1.0,2.0,48.0,2.0,2.6,79.7,0.8,1.9,2.7,3.1,1.7,1.0,0.4,2.2,19.3,3,0,1.8,G,100.00%,3.5,9.6,36.5,43.9,-7.4,1.7,3.5,50,0.3,1,28,0.2,0.7,33.3,0.2,0.4,42.9,0.1,0.3,20,0.8,1.5,52.6,8.5,14.5,58.3,1.4,3.3,43.4,0.8,2.3,35.7,1.2,2.8,41.2,2.1,6.6,31.6,3.3,11,29.4,71.1,28.9,46.3,5.2,31.4,12.2,22.3,23.1,41.0,41.5,58.5,66.7,33.3,49.4,50.6
26,77,28,49,20.1,11.1,4.2,8.4,49.4,1.0,2.6,36.3,1.8,2.8,64.8,2.1,3.5,5.5,1.1,1.3,0.4,0.9,2.6,21.9,9,0,-2.1,C,100.00%,5.1,10.6,48.1,47.4,0.7,2.8,4.5,62,0.3,0.9,33.8,0.1,0.4,29,0.2,0.5,35,0.3,0.9,37.5,0.5,1.3,36.4,7.4,12.5,59.6,1.6,3.4,48.7,1.3,3.2,42.4,1.5,3.5,42.4,2.6,6.7,38,3.3,8.7,37.9,68.5,31.5,57.6,2.1,26.0,6.9,16.4,12.4,55.5,72.0,28.0,98.6,1.4,78.1,21.9
